,,,,,,,,,
,,AMBIENTE,BASE URL SERVICIOS REST,,BASE URL WEB SOCKETS,,,,
3,update-customer-data,Java8,rb-pasivo-[stack]-update-data-crm,WSS. Ruta: cpp2-ci-es,"Lee la información del cliente alojada en la tabla rb-pasivo-crm-customer-data. Con base en estos datos y en los que el usuario llenó en los formularios, consume el servicio ActualizarDatosCliente del DataPower del banco para actualizarla en el CRM.",WSS RUTA: cpp2-ci-es,"STG https://192.168.135.28:442/PFBA_Crm34/sca/WSBA_Crm_actualizarDatosClienteV03IFX
PRO https://aliaslambda.avvillaspasivo.net:442/PFBA_Crm34/sca/WSBA_Crm_actualizarDatosClienteV03IFX",https://rb-dev-alb-ecs-ext-525169194.us-east-2.elb.amazonaws.com/castlemock/mock/soap/project/XV9lRC/CustomerDataStatusSvcPort,
,get-documents-to-charge,Node14,rb-pasivo-[stack]-get-documents-to-charge,REST,"Consume el servicio de iniciar-cargue-documentos de sandbox, la respuesta permite a front saber qué documentos solicitarle al cliente.",POST: /get-documents-to-charge,"DEV https://xbpjskgord.execute-api.us-east-2.amazonaws.com/dev/sandbox/initiate
STG https://88etqtq4fg.execute-api.us-east-2.amazonaws.com/stg/sandbox/initiate
PRO ",,
,document-recognition,Node14,rb-pasivo-[stack]-document-recognition,REST,"Consume el servicio de iniciar-cargue-documentos de sandbox, la respuesta permite a front saber qué documentos solicitarle al cliente.",POST: /validate-document,No Aplica,No Aplica,
,save-document,Node14,rb-pasivo-[stack]-save-document,REST,Este servicio convierte las 2 caras de la cédula en 1 PDF y lo almacena en el S3 rb-pasivo-[stack]-documents-client-bkt. ,POST: /save-document,No Aplica,No Aplica,
,generate-presigned-url,Node14,rb-pasivo-[stack]-generate-presigned-url,REST,Genera una url para que front pueda subir documentos del cliente al S3 rb-pasivo-[stack]-documents-client-bkt. (Documentos diferentes a la cédula),POST: /generate-presigned-url,No Aplica,No Aplica,
,transform-sqs-message,Python3.7,rb-pasivo-[stack]-transform-sqs-message,SQS,"A través de una integración rest se envían mensajes a la cola SQS rb-pasivo-[stack]-sqs-cda-documents-queue. Esta lambda consume dichos mensajes, los transforma de acuerdo al formato requerido y ejecuta la maquina de estados de nube negra [stack]-sandbox-data",POST: /sqs-cda-documents,No Aplica,No Aplica,
,get-bank-documents,Node14,rb-pasivo-[stack]-get-bank-documents,REST,"Obtiene los documentos con formato banco que el usuario va a firmar (estos no tienen caída de datos), los cuales están almacenados en el Bucket S3 rb-pasivo-[stack]-bank-documents-bkt",POST: /get-pdf,No Aplica,No Aplica,
3,electronic-signature,Java8,rb-pasivo-[stack]-digital-signature,WSS. Ruta: cpp2-ci-es,"Consume el servicio EjecutarFirmaDigital del DataPower del banco, con el cual el usuario firma electrónicamente un paquete de documentos con formatos tipo banco, los cuales corresponden a las características del producto que el usuario eligió en el flujo de apertura.",WSS RUTA: cpp2-ci-es,"STG https://192.168.135.28:442/PJBA_Multiaplicacion_ejecutarFirmaDigital/WSBA_Multiaplicacion_ejecutarFirmaDigitalV2
PRO https://aliaslambda.avvillaspasivo.net:442/PJBA_Multiaplicacion_ejecutarFirmaDigital/WSBA_Multiaplicacion_ejecutarFirmaDigitalV2",https://rb-dev-alb-ecs-ext-525169194.us-east-2.elb.amazonaws.com/castlemock/mock/soap/project/GiJwtj/WSBA_Multiaplicacion_ejecutarFirmaDigitalPort,
3,create-insurance,Java8,rb-pasivo-[stack]-create-ensurance,WSS. Ruta: cpp2-ci-es,"Consume el servicio RadicarSeguro del DataPower del banco, el cual se encarga de crear un seguro asociado a la cuenta de ahorros creada.",WSS RUTA: cpp2-ci-es,"STG https://192.168.135.28:442/PFBA_AhorrosyCtaCte19/sca/WSBA_AhorrosyCtaCte_radicarSegurosIFX
PRO https://aliaslambda.avvillaspasivo.net:442/PFBA_AhorrosyCtaCte19/sca/WSBA_AhorrosyCtaCte_radicarSegurosIFX",https://rb-dev-alb-ecs-ext-525169194.us-east-2.elb.amazonaws.com/castlemock/mock/soap/project/I3i1qO/InsuranceFileSvcPort,
,read-active-channels,Node14,rb-pasivo-[stack]-read-active-channels,REST,Consume la operación GET del servicio Enrollment_Customer de la celula de servicios compartidos para conocer si el cliente tiene una clave universal asignada en por lo menos uno de sus canales activos,GET: /read-active-channels,"STG https://apicapi-gateway-qa.appsptqa.ath.com.co/org-qa/api-pb/securityManagement/v2/Enrollment_Customer/Customer
PRO https://apicapi-gateway-qa.appsptqa.ath.com.co/org-qa/ath-api-calidad/securityManagement/v2/Enrollment_Customer/Customer",https://rb-dev-alb-ecs-ext-525169194.us-east-2.elb.amazonaws.com/castlemock/mock/rest/project/m5ZRQg/application/ODSeQ3/Enrollment_Customer/Customer,
,create-sds-user,Node14,rb-pasivo-[stack]-create-sds-user,REST,"Consume la operación POST del servicio Enrollment_Customer de la celula de servicios compartidos, para crearle al cliente una contraseña universal para acceder a sus canales.",POST: /create-sds-user,"STG https://apicapi-gateway-qa.appsptqa.ath.com.co/org-qa/api-pb/securityManagement/v2/Enrollment_Customer/Customer
PRO https://apicapi-gateway-qa.appsptqa.ath.com.co/org-qa/ath-api-calidad/securityManagement/v2/Enrollment_Customer/Customer",https://rb-dev-alb-ecs-ext-525169194.us-east-2.elb.amazonaws.com/castlemock/mock/rest/project/Y6ThlN/application/RolaVj/,
,read-summary-transaction,Node14,rb-pasivo-[stack]-read-summary-transaction,REST,Lee el resumen de la transacción almacenado en la tabla rb-pasivo-summary-transaction-data.,GET: /read-summary-transaction,No Aplica,No Aplica,
,notify-account-creation,Node14,rb-pasivo-[stack]-notify-account-creation,WSS. Ruta: cpp2-ci-es," Basicamente este servicio se consume para que el banco genre el proceso de envío del mail de bienvenida y actualice la fecha sipla, la cual nos permite saber si el usuario está actualizado o no.",WSS RUTA: cpp2-ci-es,"STG https://192.168.135.28:542/PFBA_CanalOtros296/WRBA_CanalOtros_notificaAperturaCuenta
PRO https://aliaslambda.avvillaspasivo.net:542/PFBA_CanalOtros296/WRBA_CanalOtros_notificaAperturaCuenta",https://rb-dev-alb-ecs-ext-525169194.us-east-2.elb.amazonaws.com/castlemock/mock/rest/project/xu0A4d/application/3ugtaH/notify-accont-creation,
